venue_id	provider	source_key	issns	source_name	works	rule
aej-macroeconomics	crossref	1945-7707	1945-7707;1945-7715	American Economic Journal Macroeconomics	744	crossref-issn
journal-of-monetary-economics	crossref	0304-3932	0304-3932	Journal of Monetary Economics	4011	crossref-issn
review-of-economic-dynamics	crossref	1094-2025	1094-2025	Review of Economic Dynamics	1403	crossref-issn
aej-microeconomics	crossref	1945-7669	1945-7669;1945-7685	American Economic Journal Microeconomics	862	crossref-issn
aej-economic-policy	crossref	1945-7731	1945-774X;1945-774X;1945-7731	American Economic Journal Economic Policy	919	crossref-issn
economic-policy	crossref	0266-4658	0266-4658;1468-0327	Economic Policy	893	crossref-title
journal-of-public-economics	crossref	0047-2727	0047-2727	Journal of Public Economics	5429	crossref-issn
journal-of-economic-theory	crossref	0022-0531	0022-0531;1095-7235	Journal of Economic Theory	6261	crossref-issn
journal-of-urban-economics	crossref	0094-1190	0094-1190;1095-9068	Journal of Urban Economics	2829	crossref-title
american-educational-research-journal	crossref	0002-8312	0002-8312;1935-1011	American Educational Research Journal	4159	crossref-issn
review-of-educational-research	crossref	0034-6543	0034-6543;1935-1046	Review of Educational Research	5820	crossref-title
acta-materialia	crossref	1359-6454	1359-6454	Acta Materialia	21212	crossref-title
additive-manufacturing	crossref	2214-8604	2214-8604	Additive Manufacturing	4942	crossref-title
aiche-journal	crossref	0001-1541	0001-1541;1547-5905	AIChE Journal	20840	crossref-title
applied-energy	crossref	0306-2619	0306-2619	Applied Energy	27673	crossref-title
automatica	crossref	0005-1098	0005-1098	Automatica	15757	crossref-title
biomaterials	crossref	0142-9612	0142-9612	Biomaterials	21847	crossref-title
cement-and-concrete-research	crossref	0008-8846	0008-8846	Cement and Concrete Research	10992	crossref-title
chemical-engineering-journal	crossref	1385-8947	1385-8947	Chemical Engineering Journal	76986	crossref-title
composites-part-b-engineering	crossref	1359-8368	1359-8368	Composites Part B Engineering	13159	crossref-title
energy-storage-materials	crossref	2405-8297	2405-8297	Energy Storage Materials	5513	crossref-title
ieee-transactions-on-antennas-and-propagation	crossref	0018-926X	0018-926X;1558-2221	IEEE Transactions on Antennas and Propagation	25034	crossref-title
ieee-transactions-on-automatic-control	crossref	0018-9286	0018-9286;1558-2523;2334-3303	IEEE Transactions on Automatic Control	24203	crossref-title
ieee-transactions-on-biomedical-engineering	crossref	0018-9294	0018-9294;1558-2531	IEEE Transactions on Biomedical Engineering	15326	crossref-title
ieee-transactions-on-industrial-electronics	crossref	0278-0046	0278-0046;1557-9948;1932-4529	IEEE Transactions on Industrial Electronics	24119	crossref-title
ieee-transactions-on-information-theory	crossref	0018-9448	0018-9448;1557-9654	IEEE Transactions on Information Theory	20342	crossref-title
ieee-transactions-on-medical-imaging	crossref	0278-0062	0278-0062;1558-254X	IEEE Transactions on Medical Imaging	8654	crossref-title
ieee-transactions-on-power-electronics	crossref	0885-8993	0885-8993;1941-0107	IEEE Transactions on Power Electronics	21313	crossref-title
ieee-transactions-on-power-systems	crossref	0885-8950	0885-8950;1558-0679	IEEE Transactions on Power Systems	13823	crossref-title
ieee-transactions-on-robotics	crossref	1552-3098	1552-3098;1941-0468;1546-1904	IEEE Transactions on Robotics	4179	crossref-title
ieee-transactions-on-signal-processing	crossref	1053-587X	1053-587X;1941-0476	IEEE Transactions on Signal Processing	17659	crossref-title
international-journal-of-machine-tools-and-manufacture	crossref	0890-6955	0890-6955	International Journal of Machine Tools and Manufacture	4758	crossref-title
international-journal-of-plasticity	crossref	0749-6419	0749-6419	International Journal of Plasticity	4603	crossref-title
journal-of-membrane-science	crossref	0376-7388	0376-7388	Journal of Membrane Science	26448	crossref-title
journal-of-power-sources	crossref	0378-7753	0378-7753;0378-7753	Journal of Power Sources	40876	crossref-title
journal-of-the-mechanics-and-physics-of-solids	crossref	0022-5096	0022-5096	Journal of the Mechanics and Physics of Solids	7677	crossref-title
light-science-and-applications	crossref	2047-7538	2047-7538	Light Science & Applications	2837	crossref-title
nature-biomedical-engineering	crossref	2157-846X	2157-846X	Nature Biomedical Engineering	1759	crossref-title
nature-electronics	crossref	2520-1131	2520-1131	Nature Electronics	1683	crossref-title
optica	crossref	2334-2536	2334-2536	Optica	2847	crossref-title
proceedings-of-the-ieee	crossref	0018-9219	0018-9219;1558-2256	Proceedings of the IEEE	19870	crossref-title
progress-in-aerospace-sciences	crossref	0376-0421	0376-0421	Progress in Aerospace Sciences	1242	crossref-title
progress-in-energy-and-combustion-science	crossref	0360-1285	0360-1285	Progress in Energy and Combustion Science	1213	crossref-title
progress-in-materials-science	crossref	0079-6425	0079-6425;1873-2208	Progress in Materials Science	1660	crossref-title
the-international-journal-of-robotics-research	crossref	0278-3649	0278-3649;1741-3176	The International Journal of Robotics Research	3211	crossref-title
transportation-research-part-b-methodological	crossref	0191-2615	0191-2615	Transportation Research Part B Methodological	4203	crossref-title
entrepreneurship-theory-and-practice	crossref	1042-2587	1042-2587;1540-8520;1540-6520	Entrepreneurship Theory and Practice	1875	crossref-title
journal-of-business-venturing	crossref	0883-9026	0883-9026	Journal of Business Venturing	1766	crossref-issn
energy-and-environmental-science	crossref	1754-5692	1754-5692;1754-5706	Energy & Environmental Science	8215	crossref-title
environmental-science-and-technology	crossref	0013-936X	0013-936X;1520-5851	Environmental Science & Technology	63178	crossref-title
global-environmental-change	crossref	0959-3780	0959-3780	Global Environmental Change	3178	crossref-issn
conservation-biology	crossref	0888-8892	0888-8892;1523-1739	Conservation Biology	8557	crossref-issn
global-change-biology	crossref	1354-1013	1354-1013;1365-2486	Global Change Biology	9842	crossref-title
financial-cryptography-and-data-security	dblp	conf/fc		Financial Cryptography and Data Security (FC)	0	dblp-venue
financial-management	crossref	0046-3892	0046-3892;1755-053X	Financial Management	2153	crossref-title
journal-of-banking-and-finance	crossref	0378-4266	0378-4266	Journal of Banking & Finance	7512	crossref-title
journal-of-corporate-finance	crossref	0929-1199	0929-1199	Journal of Corporate Finance	2844	crossref-issn
journal-of-empirical-finance	crossref	0927-5398	0927-5398	Journal of Empirical Finance	1856	crossref-title
journal-of-finance	crossref	1540-6261	0022-1082;1540-6261	The Journal of Finance	15529	crossref-issn
journal-of-financial-and-quantitative-analysis	crossref	0022-1090	0022-1090;1756-6916	Journal of Financial and Quantitative Analysis	4093	crossref-title
journal-of-financial-economics	crossref	0304-405X	0304-405X	Journal of Financial Economics	4520	crossref-issn
journal-of-financial-intermediation	crossref	1042-9573	1042-9573;1096-0473	Journal of Financial Intermediation	1036	crossref-issn
journal-of-financial-markets	crossref	1386-4181	1386-4181	Journal of Financial Markets	916	crossref-title
journal-of-financial-research	refused	-		Journal of Financial Research	0	refused: crossref:0270-2592 — ISSN mismatch: pack states ['1002-7246'], crossref candidate carries ['0270-2592', '1475-6803']
journal-of-international-money-and-finance	crossref	0261-5606	0261-5606	Journal of International Money and Finance	3810	crossref-title
journal-of-money-credit-and-banking	crossref	0022-2879	0022-2879;1538-4616	Journal of money credit and banking	4552	crossref-title
mathematical-finance	crossref	0960-1627	0960-1627;1467-9965	Mathematical Finance	1253	crossref-issn
review-of-finance	crossref	1572-3097	1572-3097;1573-692X;1875-824X	Review of Finance	1142	crossref-title
review-of-financial-studies	crossref	0893-9454	0893-9454;1465-7368	Review of Financial Studies	3276	crossref-title
annals-of-the-american-association-of-geographers	crossref	2469-4452	2469-4452;2469-4460	Annals of the American Association of Geographers	1452	crossref-issn
progress-in-human-geography	crossref	0309-1325	0309-1325;1477-0288	Progress in Human Geography	4866	crossref-issn
american-historical-review	crossref	0002-8762	0002-8762;1937-5239	The American Historical Review	134358	crossref-issn
the-english-historical-review	crossref	0013-8266	0013-8266;1477-4534	The English Historical Review	49972	crossref-title
analysis	crossref	0003-2638	0003-2638;1467-8284	Analysis	8101	crossref-title
art-history	crossref	0141-6790	0141-6790;1467-8365	Art History	2924	crossref-title
comparative-literature	crossref	0010-4124	0010-4124;1945-8517	Comparative Literature	3888	crossref-title
ethics	crossref	0014-1704	0014-1704;1539-297X	Ethics	11112	crossref-title
harvard-theological-review	crossref	0017-8160	0017-8160;1475-4517	Harvard Theological Review	4056	crossref-title
history-and-theory	crossref	0018-2656	0018-2656;1468-2303	History and Theory	2419	crossref-title
history-of-religions	crossref	0018-2710	0018-2710;1545-6935	History of Religions	2590	crossref-title
journal-of-linguistics	crossref	0022-2267	0022-2267;1469-7742	Journal of Linguistics	3003	crossref-title
journal-of-social-history	crossref	0022-4529	0022-4529;1527-1897	Journal of Social History	6929	crossref-title
journal-of-the-american-musicological-society	crossref	0003-0139	0003-0139;1547-3848	Journal of the American Musicological Society	6740	crossref-title
linguistic-inquiry	crossref	0024-3892	0024-3892;1530-9150	Linguistic Inquiry	1053	crossref-title
modern-language-quarterly	crossref	0026-7929	0026-7929;1527-1943	Modern Language Quarterly	4960	crossref-title
music-theory-spectrum	crossref	0195-6167	0195-6167;1533-8339	Music Theory Spectrum	1577	crossref-title
natural-language-and-linguistic-theory	crossref	0167-806X	0167-806X;1573-0859	Natural Language & Linguistic Theory	1256	crossref-title
new-literary-history	crossref	0028-6087	0028-6087;1080-661X	New Literary History	2543	crossref-title
nous	crossref	0029-4624	0029-4624;1468-0068	Noûs	2976	crossref-title
october	crossref	0162-2870	0162-2870;1536-013X	October	1597	crossref-title
past-and-present	crossref	0031-2746	0031-2746;1477-464X	Past & Present	2487	crossref-title
representations	crossref	0734-6018	0734-6018;1533-855X	Representations	2167	crossref-title
the-classical-quarterly	crossref	0009-8388	0009-8388;1471-6844	The Classical Quarterly	6590	crossref-title
the-journal-of-aesthetics-and-art-criticism	crossref	0021-8529	0021-8529;1540-6245	Journal of Aesthetics and Art Criticism	11421	crossref-title
the-journal-of-modern-history	crossref	0022-2801	0022-2801;1537-5358	The Journal of Modern History	18068	crossref-title
the-journal-of-philosophy	crossref	0022-362X	0022-362X	The Journal of Philosophy	12801	crossref-title
the-journal-of-religion	crossref	0022-4189	0022-4189;1549-6538	The Journal of Religion	15431	crossref-title
the-journal-of-roman-studies	crossref	0075-4358	0075-4358;1753-528X	The Journal of Roman Studies	9379	crossref-title
the-philosophical-review	crossref	0031-8108	0031-8108;1558-1470	The Philosophical Review	10367	crossref-title
the-william-and-mary-quarterly	crossref	0043-5597	0043-5597;1933-7698	The William and Mary Quarterly	10822	crossref-title
critical-inquiry	crossref	0093-1896	0093-1896;1539-7858	Critical Inquiry	3602	crossref-title
information-systems-research	crossref	1047-7047	1047-7047;1526-5536	Information Systems Research	1950	crossref-issn
journal-of-management-information-systems	crossref	0742-1222	0742-1222;1557-928X	Journal of Management Information Systems	1801	crossref-title
journal-of-the-association-for-information-systems	crossref	1536-9323	1536-9323;1536-9323	Journal of the Association for Information Systems	1044	crossref-title
mis-quarterly	crossref	0276-7783	0276-7783;2162-9730	MIS Quarterly	2261	crossref-title
research-policy	crossref	0048-7333	0048-7333	Research Policy	5231	crossref-title
journal-of-international-business-studies	crossref	0047-2506	0047-2506;1478-6990;0047-8210	Journal of International Business Studies	3309	crossref-issn
harvard-law-review	crossref	0017-811X	0017-811X;2161-976X	Harvard Law Review	19370	crossref-title
yale-law-journal	crossref	0044-0094	0044-0094	The Yale Law Journal	16101	crossref-title
journal-of-law-and-economics	crossref	0022-2186	0022-2186;1537-5285	The Journal of Law and Economics	1981	crossref-title
journal-of-law-economics-and-organization	crossref	8756-6222	8756-6222;1465-7341	The Journal of Law Economics and Organization	1103	crossref-title
ca-a-cancer-journal-for-clinicians	crossref	0007-9235	0007-9235;1542-4863	CA A Cancer Journal for Clinicians	4866	crossref-title
cancer-cell	crossref	1535-6108	1535-6108	Cancer Cell	4243	crossref-issn
cancer-discovery	crossref	2159-8274	2159-8274;2159-8290	Cancer Discovery	8039	crossref-title
cell	crossref	0092-8674	0092-8674	Cell	26695	crossref-issn
cell-host-and-microbe	crossref	1931-3128	1931-3128	Cell Host & Microbe	3618	crossref-title
cell-metabolism	crossref	1550-4131	1550-4131	Cell Metabolism	4295	crossref-title
cell-reports-medicine	crossref	2666-3791	2666-3791	Cell Reports Medicine	2220	crossref-title
cell-stem-cell	crossref	1934-5909	1934-5909	Cell Stem Cell	3839	crossref-title
developmental-cell	crossref	1534-5807	1534-5807	Developmental Cell	6393	crossref-title
molecular-cell	crossref	1097-2765	1097-2765	Molecular Cell	10504	crossref-issn
nature-cell-biology	crossref	1465-7392	1465-7392;1476-4679	Nature Cell Biology	6736	crossref-title
the-plant-cell	crossref	1040-4651	1040-4651;1532-298X	The Plant Cell	12354	crossref-title
academy-of-management-annals	crossref	1941-6520	1941-6520;1941-6067	Academy of Management Annals	393	crossref-title
academy-of-management-journal	crossref	0001-4273	0001-4273;1948-0989	Academy of Management Journal	4516	crossref-title
academy-of-management-review	crossref	0363-7425	0363-7425;1930-3807	Academy of Management Review	4395	crossref-title
administrative-science-quarterly	crossref	0001-8392	0001-8392;1930-3815	Administrative Science Quarterly	4304	crossref-title
human-relations	crossref	0018-7267	0018-7267;1741-282X	Human Relations	4897	crossref-title
human-resource-management	crossref	1099-050X	0090-4848;1099-050X	Human Resource Management	3235	crossref-issn
journal-of-management	crossref	0149-2063	0149-2063;1557-1211	Journal of Management	3266	crossref-title
journal-of-management-studies	crossref	0022-2380	0022-2380;1467-6486	Journal of Management Studies	3752	crossref-title
journal-of-management-world	refused	-		Journal of Management World	0	refused: crossref:2994-3191 — Chinese-language venue matched on a translated name with no ISSN to corroborate it
organization-science	crossref	1047-7039	1047-7039;1526-5455	Organization Science	2624	crossref-issn
organization-studies	crossref	0170-8406	0170-8406;1741-3044	Organization Studies	4218	crossref-title
strategic-management-journal	crossref	1097-0266	0143-2095;1097-0266	Strategic Management Journal	4423	crossref-issn
journal-of-consumer-psychology	crossref	1057-7408	1057-7408;1532-7663	Journal of Consumer Psychology	1877	crossref-title
journal-of-consumer-research	crossref	0093-5301	0093-5301;1537-5277	Journal of Consumer Research	3421	crossref-title
journal-of-international-marketing	crossref	1069-031X	1069-031X;1547-7215	Journal of International Marketing	960	crossref-title
journal-of-marketing	crossref	0022-2429	0022-2429;0022-2429;1547-7185	Journal of Marketing	12015	crossref-issn
journal-of-marketing-research	crossref	0022-2437	0022-2437;1547-7193	Journal of Marketing Research	7586	crossref-issn
journal-of-public-policy-and-marketing	crossref	0743-9156	0743-9156;1547-7207	Journal of Public Policy & Marketing	1404	crossref-title
journal-of-the-academy-of-marketing-science	crossref	0092-0703	0092-0703;1552-7824	Journal of the Academy of Marketing Science	3634	crossref-title
marketing-science	crossref	0732-2399	0732-2399;1526-548X	Marketing Science	2284	crossref-title
advanced-materials	crossref	0935-9648	0935-9648;1521-4095	Advanced Materials	44914	crossref-issn
annals-of-mathematics	crossref	0003-486X	0003-486X	Annals of Mathematics	6294	crossref-issn
jama	crossref	0098-7484	0098-7484;1538-3598	JAMA	226987	crossref-issn
lancet	crossref	0140-6736	0140-6736;1474-547X;0099-5355	The Lancet	474388	crossref-issn
nejm	crossref	0028-4793	2163-3061;2163-307X;0028-4793;1533-4406	The New England Journal of Medicine and Surgery and the Collateral Branches of Science	190010	crossref-issn
the-lancet	crossref	0140-6736	0140-6736;1474-547X;0099-5355	The Lancet	474388	crossref-title
the-lancet-diabetes-and-endocrinology	crossref	2213-8587	2213-8587	The Lancet Diabetes & Endocrinology	3111	crossref-title
the-lancet-digital-health	crossref	2589-7500	2589-7500	The Lancet Digital Health	1039	crossref-title
the-lancet-infectious-diseases	crossref	1473-3099	1473-3099	The Lancet Infectious Diseases	10840	crossref-title
the-lancet-neurology	crossref	1474-4422	1474-4422	The Lancet Neurology	7432	crossref-title
the-lancet-oncology	crossref	1470-2045	1470-2045	The Lancet Oncology	12424	crossref-title
the-lancet-psychiatry	crossref	2215-0366	2215-0366	The Lancet Psychiatry	3838	crossref-title
the-lancet-public-health	crossref	2468-2667	2468-2667	The Lancet Public Health	1641	crossref-title
the-lancet-respiratory-medicine	crossref	2213-2600	2213-2600	The Lancet Respiratory Medicine	4100	crossref-title
accounts-of-chemical-research	crossref	0001-4842	0001-4842;1520-4898	Accounts of Chemical Research	9203	crossref-title
acs-catalysis	crossref	2155-5435	2155-5435;2155-5435	ACS Catalysis	17583	crossref-title
acs-central-science	crossref	2374-7943	2374-7943;2374-7951	ACS Central Science	2830	crossref-title
acs-energy-letters	crossref	2380-8195	2380-8195;2380-8195	ACS Energy Letters	5768	crossref-title
acs-nano	crossref	1936-0851	1936-0851;1936-086X	ACS Nano	29239	crossref-title
acta-mathematica	crossref	0001-5962	0001-5962;1871-2509	Acta Mathematica	2280	crossref-title
advanced-energy-materials	crossref	1614-6832	1614-6832;1614-6840	Advanced Energy Materials	12972	crossref-title
advanced-functional-materials	crossref	1616-301X	1616-301X;1616-3028	Advanced Functional Materials	42599	crossref-title
advances-in-mathematics	crossref	0001-8708	0001-8708;1090-2082	Advances in Mathematics	11318	crossref-title
angewandte-chemie-international-edition	crossref	1433-7851	1433-7851;1521-3773	Angewandte Chemie International Edition	81442	crossref-title
annals-of-internal-medicine	crossref	0003-4819	0003-4819;1539-3704	Annals of Internal Medicine	62410	crossref-title
annual-review-of-astronomy-and-astrophysics	crossref	0066-4146	0066-4146;1545-4282	Annual Review of Astronomy and Astrophysics	1297	crossref-title
annual-review-of-ecology-evolution-and-systematics	crossref	1543-592X	1543-592X;1545-2069	Annual Review of Ecology Evolution and Systematics	617	crossref-title
astronomy-and-astrophysics	crossref	0004-6361	0004-6361;1432-0746;1633-4760;1638-1963	Astronomy and Astrophysics	58259	crossref-title
astrophysical-journal-letters	crossref	2041-8205	2041-8205;2041-8213	The Astrophysical Journal Letters	11625	crossref-title
atmospheric-chemistry-and-physics	crossref	1680-7324	1680-7324	Atmospheric Chemistry and Physics"	16007	crossref-title
blood	crossref	0006-4971	0006-4971;1528-0020	Blood	183948	crossref-title
chemical-reviews	crossref	0009-2665	0009-2665;1520-6890	Chemical Reviews	10681	crossref-title
chemical-society-reviews	crossref	0306-0012	0306-0012;1460-4744	Chemical Society Reviews	9298	crossref-title
circulation	crossref	0009-7322	0009-7322;1524-4539	Circulation	91527	crossref-title
classical-and-quantum-gravity	crossref	0264-9381	0264-9381;1361-6382	Classical and Quantum Gravity	16038	crossref-title
coordination-chemistry-reviews	crossref	0010-8545	0010-8545;0010-8545	Coordination Chemistry Reviews	10652	crossref-title
current-biology	crossref	0960-9822	0960-9822	Current Biology	25652	crossref-title
diabetes-care	crossref	0149-5992	0149-5992;0149-5992;1935-5548	Diabetes Care	22087	crossref-title
duke-mathematical-journal	crossref	0012-7094	0012-7094;1547-7398	Duke Mathematical Journal	6819	crossref-title
earths-future	crossref	2328-4277	2328-4277;2328-4277	Earth s Future	2460	crossref-title
ecology-letters	crossref	1461-023X	1461-023X;1461-0248	Ecology Letters	5071	crossref-title
elife	crossref	2050-084X	2050-084X	eLife	22833	crossref-title
european-heart-journal	crossref	0195-668X	0195-668X;1522-9645	European Heart Journal	68966	crossref-title
foundations-of-computational-mathematics	crossref	1615-3375	1615-3375;1615-3383	Foundations of Computational Mathematics	858	crossref-title
functional-ecology	crossref	0269-8463	0269-8463;1365-2435	Functional Ecology	6322	crossref-title
gastroenterology	crossref	0016-5085	0016-5085	Gastroenterology	157908	crossref-title
genome-biology	crossref	1465-6906	1465-6906;1465-6906;1474-760X	Genome Biology	9071	crossref-title
geometry-and-topology	crossref	1465-3060	1465-3060;1364-0380	Geometry & Topology	1771	crossref-title
geophysical-research-letters	crossref	1944-8007	1944-8007;0094-8276	Geophysical Research Letters	52934	crossref-title
gut	crossref	0017-5749	0017-5749;1468-3288	Gut	24436	crossref-title
ieee-transactions-on-pattern-analysis-and-machine-intelligence	crossref	0162-8828	0162-8828;2160-9292;1939-3539	IEEE Transactions on Pattern Analysis and Machine Intelligence	12337	crossref-title
immunity	crossref	1074-7613	1074-7613	Immunity	6744	crossref-title
inventiones-mathematicae	crossref	0020-9910	0020-9910;1432-1297	Inventiones mathematicae	4869	crossref-title
jacs-au	crossref	2691-3704	2691-3704;2691-3704	JACS Au	2411	crossref-title
journal-of-clinical-investigation	crossref	0021-9738	0021-9738;1558-8238	Journal of Clinical Investigation	36543	crossref-title
journal-of-clinical-oncology	crossref	0732-183X	0732-183X;1527-7755	Journal of Clinical Oncology	170290	crossref-title
journal-of-ecology	crossref	0022-0477	0022-0477;1365-2745	Journal of Ecology	10895	crossref-title
journal-of-experimental-medicine	crossref	0022-1007	0022-1007;1540-9538	Journal of Experimental Medicine	26026	crossref-title
journal-of-geophysical-research-atmospheres	crossref	0148-0227	0148-0227;2156-2202;2169-897X	Journal of Geophysical Research Atmospheres	97397	crossref-title
journal-of-high-energy-physics	crossref	1126-6708	1126-6708;1029-8479	Journal of High Energy Physics	47276	crossref-title
journal-of-machine-learning-research	crossref	1532-4435	1532-4435	Journal of Machine Learning Research	0	crossref-title
journal-of-the-acm	crossref	0004-5411	0004-5411;1557-735X	Journal of the ACM	3332	crossref-title
journal-of-the-american-college-of-cardiology	crossref	0735-1097	0735-1097	Journal of the American College of Cardiology	131505	crossref-title
living-reviews-in-relativity	crossref	2367-3613	2367-3613;1433-8351	Living Reviews in Relativity	197	crossref-title
matter	crossref	2590-2385	2590-2385	Matter	2616	crossref-title
molecular-biology-and-evolution	crossref	0737-4038	0737-4038;1537-1719	Molecular Biology and Evolution	9532	crossref-title
molecular-ecology	crossref	0962-1083	0962-1083;1365-294X	Molecular Ecology	12772	crossref-title
molecular-psychiatry	crossref	1359-4184	1359-4184;1359-4184;1476-5578	Molecular Psychiatry	7535	crossref-title
monthly-notices-of-the-royal-astronomical-society	crossref	0035-8711	0035-8711;1365-8711;1365-2966	Monthly Notices of the Royal Astronomical Society	93085	crossref-title
national-science-review	crossref	2095-5138	2095-5138;2053-714X	National Science Review	3634	crossref-title
nature	crossref	0028-0836	0028-0836;1476-4687	Nature	446962	crossref-title
nature-astronomy	crossref	2397-3366	2397-3366	Nature Astronomy	2926	crossref-title
nature-biotechnology	crossref	1087-0156	1087-0156;1546-1696	Nature Biotechnology	19416	crossref-title
nature-catalysis	crossref	2520-1158	2520-1158	Nature Catalysis	1597	crossref-title
nature-chemistry	crossref	1755-4330	1755-4330;1755-4349	Nature Chemistry	5083	crossref-title
nature-climate-change	crossref	1758-678X	1758-678X;1758-6798	Nature Climate Change	5491	crossref-title
nature-ecology-and-evolution	crossref	2397-334X	2397-334X	Nature Ecology & Evolution	3127	crossref-title
nature-energy	crossref	2058-7546	2058-7546	Nature Energy	2060	crossref-title
nature-genetics	crossref	1061-4036	1061-4036;1546-1718	Nature Genetics	11702	crossref-title
nature-human-behaviour	crossref	2397-3374	2397-3374	Nature Human Behaviour	2515	crossref-title
nature-immunology	crossref	1529-2908	1529-2908;1529-2916	Nature Immunology	7190	crossref-title
nature-machine-intelligence	crossref	2522-5839	2522-5839	Nature Machine Intelligence	1287	crossref-title
nature-materials	crossref	1476-1122	1476-1122;1476-4660	Nature Materials	6959	crossref-title
nature-medicine	crossref	1078-8956	1078-8956;1546-170X	Nature Medicine	16472	crossref-title
nature-methods	crossref	1548-7091	1548-7091;1548-7105	Nature Methods	8382	crossref-title
nature-microbiology	crossref	2058-5276	2058-5276	Nature Microbiology	2287	crossref-title
nature-nanotechnology	crossref	1748-3387	1748-3387;1748-3395	Nature Nanotechnology	5984	crossref-title
nature-neuroscience	crossref	1097-6256	1097-6256;1546-1726	Nature Neuroscience	8131	crossref-title
nature-photonics	crossref	1749-4885	1749-4885;1749-4893;9999-9999	Nature Photonics	5327	crossref-title
nature-physics	crossref	1745-2473	1745-2473;1745-2481	Nature Physics	7467	crossref-title
nature-reviews-chemistry	crossref	2397-3358	2397-3358	Nature Reviews Chemistry	1019	crossref-title
nature-reviews-drug-discovery	crossref	1474-1776	1474-1776;1474-1784	Nature Reviews Drug Discovery	6719	crossref-title
nature-reviews-earth-and-environment	crossref	2662-138X	2662-138X	Nature Reviews Earth & Environment	814	crossref-title
nature-reviews-materials	crossref	2058-8437	2058-8437	Nature Reviews Materials	981	crossref-title
nature-reviews-methods-primers	crossref	2662-8449	2662-8449	Nature Reviews Methods Primers	513	crossref-title
nature-reviews-physics	crossref	2522-5820	2522-5820	Nature Reviews Physics	970	crossref-title
nature-structural-and-molecular-biology	crossref	1545-9993	1545-9993;1545-9985	Nature Structural & Molecular Biology	5826	crossref-title
nature-sustainability	crossref	2398-9629	2398-9629	Nature Sustainability	1909	crossref-title
nature-synthesis	crossref	2731-0582	2731-0582	Nature Synthesis	1139	crossref-title
nature-water	crossref	2731-6084	2731-6084	Nature Water	690	crossref-title
neuron	crossref	0896-6273	0896-6273	Neuron	14315	crossref-title
new-journal-of-physics	crossref	1367-2630	1367-2630	New Journal of Physics	14693	crossref-title
npj-computational-materials	crossref	2057-3960	2057-3960	npj Computational Materials	2302	crossref-title
nucleic-acids-research	crossref	0305-1048	0305-1048;1362-4962	Nucleic Acids Research	55845	crossref-title
one-earth	crossref	2590-3322	2590-3322	One Earth	1469	crossref-title
physics-reports	crossref	0370-1573	0370-1573	Physics Reports	6049	crossref-title
plos-biology	crossref	1544-9173	1544-9173;1545-7885	PLoS Biology	8661	crossref-title
plos-medicine	crossref	1549-1277	1549-1277;1549-1676	PLoS Medicine	5778	crossref-title
pnas	crossref	0027-8424	0027-8424;1091-6490	Proceedings of the National Academy of Sciences	171464	crossref-issn
pnas-nexus	crossref	2752-6542	2752-6542	PNAS Nexus	2079	crossref-issn
prx-quantum	crossref	2691-3399	2691-3399	PRX Quantum	1423	crossref-title
reports-on-progress-in-physics	crossref	0034-4885	0034-4885;1361-6633	Reports on Progress in Physics	2756	crossref-title
reviews-of-geophysics	crossref	8755-1209	8755-1209;1944-9208	Reviews of Geophysics	2707	crossref-title
reviews-of-modern-physics	crossref	0034-6861	0034-6861;1539-0756	Reviews of Modern Physics	3643	crossref-title
science	crossref	0036-8075	0036-8075;1095-9203	Science	383844	crossref-issn
science-advances	crossref	2375-2548	2375-2548;2375-2548	Science Advances	19962	crossref-title
science-immunology	crossref	2470-9468	2470-9468	Science Immunology	1446	crossref-title
science-robotics	crossref	2470-9476	2470-9476	Science Robotics	959	crossref-title
science-signaling	crossref	1945-0877	1945-0877;1937-9145	Science Signaling	9379	crossref-title
science-translational-medicine	crossref	1946-6234	1946-6234;1946-6242	Science Translational Medicine	7299	crossref-title
siam-journal-on-computing	crossref	0097-5397	0097-5397;1095-7111	SIAM Journal on Computing	3910	crossref-title
siam-review	crossref	0036-1445	0036-1445;1095-7200	SIAM Review	6453	crossref-title
the-astronomical-journal	crossref	0004-6256	0004-6256;1538-3881	The Astronomical Journal	32496	crossref-title
the-astrophysical-journal	crossref	0004-637X	0004-637X;1538-4357	The Astrophysical Journal	133957	crossref-title
the-bmj	crossref	0267-0623	0267-0623;1468-5833;0959-535X;0959-8138;0959-8154;1756-1833;1759-2151	BMJ	455743	crossref-title
the-cryosphere	crossref	1994-0424	1994-0424	The Cryosphere	3504	crossref-title
the-embo-journal	crossref	0261-4189	0261-4189;1460-2075	The EMBO Journal	21957	crossref-title
the-innovation	crossref	2666-6758	2666-6758	The Innovation	1095	crossref-title
the-isme-journal	crossref	1751-7362	1751-7362;1751-7370	The ISME Journal	4499	crossref-title
trends-in-cognitive-sciences	crossref	1364-6613	1364-6613	Trends in Cognitive Sciences	4313	crossref-title
trends-in-ecology-and-evolution	crossref	0169-5347	0169-5347	Trends in Ecology & Evolution	8136	crossref-title
water-research	crossref	0043-1354	0043-1354	Water Research	31308	crossref-title
integration-of-constraint-programming-artificial-intelligence-and-operations-research	dblp	conf/cpaior		Integration of Constraint Programming, Artificial Intelligence, and Operations Research (CPAIOR)	0	dblp-venue
journal-of-operations-management	crossref	0272-6963	0272-6963;1873-1317	Journal of Operations Management	2435	crossref-issn
